[TABLES]
## TCGA_VERSIONED.DNA_METHYLATION_CHR22_HG38_GDC_2017_01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
organism: TEXT | species investigated in the study (e.g Homo sapiens)
description: TEXT | Gene description
uniprotkb_id: TEXT | Oldest Swiss-Prot ID associated with this gene, if available; otherwise, oldest UniProt ID
study_name: TEXT | Name of the study (e.g. Pediatric Brain Cancer Pilot Study - Phosphoproteome)
NCBI_gene_id: TEXT | NCBI Gene Identifier (numeric designation e.g. 6272)
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
uniprotkb_ids: TEXT | List of all UniProt accession numbers associated with this gene

## TCGA_VERSIONED.CLINICAL_DIAGNOSIS_TREATMENT_GDC_R38
diag__treat__treatment_type: TEXT | Text term that describes the kind of treatment administered.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__treat__created_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]
diag__treat__state: TEXT | The current state of the object.
diag__treat__treatment_or_therapy: BOOLEAN | A yes/no/unknown/not applicable indicator related to the administration of therapeutic agents received.
diag__treat__treatment_id: TEXT | GDC-assigned identifier for a case's treatment data.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__treat__updated_datetime: NUMBER | A combination of date and time of day in the form [-]CCYY-MM-DDThh:mm:ss[Z|(+|-)hh:mm]

## TCGA_VERSIONED.RADIOLOGY_IMAGES_TCIA_2022_01
InstanceNumber: NUMBER | Instance Number. Examples: 28, 35, 236, 195, 143
SeriesDate: NUMBER | Series Date. Example: 20030713
SpacingBetweenSlices: FLOAT | Spacing Between Slices. DICOM has an attribute called Spacing Between Slices (0018, 0088) that gives the distance between two adjacent slices (perpendicular to the image plane) and it also has an attribute called Slice Thickness (0018, 0050) that gives the thickness of the imaged slice (the image plane exists at the center of the slice, with half of the volume above the plane and half below). Image Position (Patient) (0020, 0032) and Image Orientation (Patient) (0020, 0037) are also useful attributes for computing spatial relationships between slices. For a more detailed explanation, see section C.7.6.2 of part 3 of the DICOM standard. (p. 409) WARNING: Please be aware that different vendors use the same dicom tags for addressing different things. For instance, the attribute Spacing Between Slices (0018, 0088) means two different things depending on the vendor.Examples: 4.5, 6.0, 7.5, 12.0. 69.2, 5.1
Modality: TEXT | Modality. Examples: MR, DT, PT, OT, CTPT, DX, NM
SeriesTime: FLOAT | Series Time. Examples: 92042.0, 121428.0. (may be null)
PerformedProcedureStepDescription: TEXT | Performed Procedure Step Description. Examples: MRI BRAIN W/ENHANCEMENT, IC MRI ABD WO+W CON
PatientAge: NUMBER | Patient Age. Examples: 52, 60, 65, 70 (or null)
ContentDate: NUMBER | Content Date. Example: 20061117
StudyInstanceUID: TEXT | StudyInstanceUID. Example: 1.3.6.1.4.1.14519.5.2.1.7695.4001.163028456110647174493384721797
FlipAngle: FLOAT | Flip Angle. This term,also called tip angle, is the amount of rotation the net magnetization (M) experiences during application of a radiofrequency (RF) pulse.Examples: 90.0, 30.0, 45.0
BitsAllocated: NUMBER | Bits Allocated. Either 8 or 16
SOPInstanceUID: TEXT | SOP Instance UID. Example: 1.3.6.1.4.1.14519.5.2.1.6450.4007.621199411198673382052605519396
ZipFileName: TEXT | Zip File Name. Example: gs://isb-tcia-open/images/TCGA-GBM/TCGA-06-0137/TCIA.image.1.2.826.0.1.3680043.2.1322.2.2834599022.102511191651.0.zip
StudyDescription: TEXT | Study Description. Examples: CT CHEST ABD PELVIS W/ CONTR, PET,HEAD & NECK CA RES
ManufacturerModelName: TEXT | Manufacturer Model Name. Examples: DS, T5, 962, HFH
SeriesDescription: TEXT | Series Description. Examples: AXIAL FSE, SAG T1 (FLAIR), COR T1 POST GD FLAIR, Exponential Apparent Diffusio
PatientWeight: FLOAT | Patient Weight. Examples: 91.0, 127.0, 53.118
BodyPartExamined: TEXT | Body Part Examined. Examples: BRAIN, BLADDER, COLON, CHEST, LUNG, PROSTRATE
PatientID: TEXT | Patient ID. Example: TCGA-08-0352
Rows: NUMBER | Rows. Example: 128
SOPClassUID: TEXT | SOP Class UID. Examples: MR Image Storage, Nuclear Medicine Image Storage, Positron Emission Tomography Image Storage, CT Image Storage, Digital Mammography X-Ray Image Storage - For Processing
ProtocolName: TEXT | Protocol Name. Examples: TVP EXCITE SURGICAL/9, TVP Surgical/, ROUTINE BRAIN/
SeriesNumber: NUMBER | Series Number. Examples: 800, 501, 15, 362
PositionReferenceIndicator: TEXT | Position Reference Indicator. Examples:NA, SN, Orbitial Meatal Line, FE, AX, 000011248, OM, V, Sternal Notch, RENAL PROTOCOL 2.5MM, VX, IC, MC, BS, UM< VT
PatientSex: TEXT | Patient Sex. Either M, F, or null
AccessionNumber: NUMBER | Accession Number. Example: 1746145767942571
PhotometricInterpretation: TEXT | Photometric Interpretation. Either MONOCHROME2, RGB, or MONOCHROME1
ReconstructionDiameter: FLOAT | Reconstruction Diameter. Examples: 160.0, 222.0, 500.0, 700.00 (may be null)
Manufacturer: TEXT | Manufacturer. Examples: SIEMENS, GE MEDICAL SYSTEMS
PatientPosition: TEXT | Patient Position. Examples: HFS, FFS, HFP, FFP, HFDL, FFDL, FF_SUPINE, FFDR, FF_DEC RIGHT
MRAcquisitionType: TEXT | MR Acquisition Type.Either 2D or 3D (or null)
AcquisitionTime: FLOAT | Acquisition Time. Example: 160921.0
Columns: NUMBER | Columns. Examples: 128, 256, 64, 160
RepetitionTime: FLOAT | Repetition Time. The repetition time (TR) is the length of time between corresponding consecutive points on a repeating series of pulses and echoes.Examples: 1700.00, 4000.0, 23.1, 466.664
AcquisitionNumber: NUMBER | Acquisition Number. Examples:3008, 2001, 37, 15, 1, 61
DCMFileName: TEXT | DCM FileName. Examples: 058.dcm, 273.dcm, 1203.dcm, 093.dcm
AcquisitionDate: NUMBER | Acquisition Date. Example: 20040914
SliceThickness: FLOAT | Slice Thickness.This is an MRI term for the thickness of an imaging slice. Because slice profiles are not sharply edged, the distance between the points at half the sensitivity of the maximum (full width at half maximum) is used to determine thickness. Examples: 5.0, 6.0, 10.0, 15.0. 40.0. See https://www.materialise.com/en/faq/what-difference-between-slice-thickness-and-slice-increment
PatientIdentityRemoved: TEXT | Patient Identity Removed. Will always be YES
StudyDate: NUMBER | Study Date. Example: 20001225
FrameofReferenceUID: TEXT | Frame of Reference UID. Example: 1.3.6.1.4.1.14519.5.2.1.4591.4001.225385959842816639120045422800
StudyTime: FLOAT | Study Time. Examples: 144532.0, 144530.0
BitsStored: NUMBER | Bits Stored. Examples: 8, 10, 12, 13, 14, 15, 16
SeriesInstanceUID: TEXT | Series Instance UID. Example: 1.2.826.0.1.3680043.2.1322.2.2837147000.102512129439.0
PixelRepresentation: NUMBER | Pixel Representation. Either 0 or 1
AdditionalPatientHistory: TEXT | Additional Patient History. Examples: RENAL MASSCIRROHIS1A, BRAIN LAB, liver lesion
ContentTime: FLOAT | Content Time. Example: 100545.0

## TCGA_VERSIONED.COPY_NUMBER_SEGMENT_MASKED_HG38_GDC_2017_02
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9
