[COMPONENTS]
@C1
demo__age_at_index: NUMBER | The patient's age (in years) on the reference or anchor date date used during date obfuscation.
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01

## TCGA_VERSIONED.RADIOLOGY_IMAGES_TCIA_2018_06
@use: [C15]

## TCGA_VERSIONED.CLINICAL_GDC_R27
@use: [C1, C10, C20, C24]
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.

## TCGA_VERSIONED.CLINICAL_GDC_R29
@use: [C1, C10, C18, C24]
case_id: TEXT | GDC unique identifier for this case (corresponds to the case_barcode) -- this can be used to access more information from the GDC data portal in the following way: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba9.
diag__diagnosis_id: TEXT | GDC-assigned identifier for a case's diagnosis.
diag__ann_arbor_extranodal_involvement: TEXT | Indicator that identifies whether a patient with malignant lymphoma has lymphomatous involvement of an extranodal site.
primary_site: TEXT | The text term used to describe the primary site of disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O). This categorization groups cases into general categories. Reference tissue_or_organ_of_origin on the diagnosis node for more specific primary sites of disease.
disease_type: TEXT | The text term used to describe the type of malignant disease, as categorized by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_CPTAC_TCGA_PDC_V2_14
@use: [C21, C30, C9]
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
project_short_name: TEXT | Project name abbreviation (e.g. pediatric_brain_cancer)
sample_type: TEXT | Text term to describe the source of a biospecimen used for a laboratory test
file_type: TEXT | File type (e.g. aligned_reads, simple_somatic_mutation, gene_expression)
program_name: TEXT | Name of the data's source program
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)

## TCGA_VERSIONED.DNA_METHYLATION_CHR20_HG19_GDC_2017_01
@use: [C13]
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A  --  note that one sample may have multiple aliquots and therefore multiple sets of CN segmentations; so be sure to use GROUP BY appropriately in your queries

## TCGA_VERSIONED.QUANT_PROTEOME_TCGA_BREAST_CANCER_PDC_V1_21
@use: [C11, C5]
case_id: TEXT | Unique identifier associated with a specific patient (e.g. 24cb0fcb-63d6-11e8-bcf1-0a2705229b82)
protein_abundance_log2ratio: FLOAT | Average log-ratio of sample reporter-ion to common reference of peptide ions associated with the gene in acquisitions from a specific biological sample
gene_description: TEXT | Description of the gene, sourced by PDC from NCBI
sample_id: TEXT | Unique PDC identifier for this sample (e.g. e8d83eb9-693a-11ea-b1fd-0aad30af8a83)
chromosome: TEXT | NCBI gene chromosome

## TCGA_VERSIONED.MASKED_SOMATIC_MUTATION_HG38_GDC_R39
@use: [C14, C19, C2, C22, C4, C6, C8]
One_Consequence: TEXT | The single consequence of the canonical transcript in  sequence ontology terms, eg missense_variant
case_barcode: TEXT | Original case barcode, eg TCGA-DX-A8BN
primary_site: TEXT | Anatomical site of the cancer under investigation or review
Validation_Status: TEXT | Second pass results from orthogonal technology
Sequence_Source: TEXT | Molecular assay type used to produce the analytes used for sequencing. Allowed values are a subset of the SRA 1.5 library_strategy field values. This subset matches those used at CGHub
file_gdc_id: TEXT | |-delimited list of unique GDC identifiers for underlying MAF file
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
case_id: TEXT | Unique GDC identifier for the underlying case
TRANSCRIPT_STRAND: TEXT | The DNA strand (1 or -1) on which the transcript/feature lies
Strand: TEXT | Either + or - to denote whether read mapped to the sense (+) or anti-sense (-) strand
Chromosome: TEXT | Chromosome, possible values: chr1-22, and chrX

## TCGA_VERSIONED.ANNOTATIONS_GDC_2017_04
case_barcode: TEXT | TCGA patient/case barcode; e.g. TCGA-06-0119
case_gdc_id: TEXT | GDC case identifier for the patient/case associated with this specific annotation
aliquot_barcode: TEXT | TCGA aliquot barcode; e.g. TCGA-06-0119-01A-08D-0216-06 (note that this field will be null if the annotation applies at a higher level than aliquot)
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; e.g. TCGA-OV, etc.
date_edited: TEXT | Annotations were rarely edited, but if thery were (fewer than 10 out of over 6000 total annotations), this field indicates the date on which it was edited
entity_type: TEXT | Type of the entity that this annotation applies to; e.g. Shipped Portion, Aliquot, Patient (which has the same meaning as Case), Analyte, etc.
category: TEXT | Annotation category; one of a relatively short list of phrases from a controlled-vocabulary; e.g. Item is noncanonical, Item flagged DNU, Prior malignancy, etc.
date_created: TEXT | Date on which this annotation was originally created; includes time-stamp and time-zone, eg 2011-03-14T18:00:42-04:00  --  dates range between March 2009 and June 2016
sample_barcode: TEXT | TCGA sample barcode; e.g. TCGA-06-0119-01A (note that this field will be null if the annotation applies at a higher level than sample)
notes: TEXT | Longer descriptive text about this annotation
entity_barcode: TEXT | Barcode of the entity that this annotation applies to; often the same as the case barcode
classification: TEXT | Annotation classification; e.g. Notification, CenterNotification, Observation, or Redaction

## TCGA_VERSIONED.DNA_METHYLATION_CHR21_HG19_GDC_2017_01
@use: [C13]
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-12-1089  --  note that each case typically has a primary-tumor sample and a matched-normal (blood or adjacent tissue) sample; please refer to the TCGA Biospecimen table for more details
platform: TEXT | Platform name used to generate this data -- either HumanMethylation450 or HumanMethylation27
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_barcode: TEXT | Original TCGA sample barcode, eg TCGA-12-1089-01A
aliquot_barcode: TEXT | Original TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-01

## TCGA_VERSIONED.PROTEIN_EXPRESSION_HG38_GDC_2017_02
@use: [C33]
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
validation_status: TEXT | Validation status of antibody by correlation of RPPA data with Western blot, V E C (https://bioinformatics.mdanderson.org/public-software/mclp/)
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
gene_name: TEXT | Gene name e.g. TTN, DDR1, etc.
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-30

## TCGA_VERSIONED.PER_SAMPLE_FILE_METADATA_HG38_GDC_R39_V2
@use: [C3, C9]
platform: TEXT | Platform used to generate this data, e.g. Illumina, Affymetrix SNP 6.10
case_gdc_id: TEXT | GDC unique identifier
project_short_name_suffix: TEXT | The code representing a project within a program. For some programs, this can be a disease code.
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), e.g. a1ec9279-c1a6-4e58-97ed-9ec1f36187c5--this can be used to access more information from the GDC data portal
program_name: TEXT | Program name, e.g. TCGA or TARGET
file_type: TEXT | File type--e.g. aligned_reads, simple_somatic_mutation, gene_expression, etc.
sample_barcode: TEXT | Original/submitter sample ID
project_short_name: TEXT | Project name abbreviation; the program name appended with a project name abbreviation, eg. TCGA-OV, etc.
case_barcode: TEXT | Submitter identifier, e.g. HCC1954, TCGA-ZX-AA5X, etc.
sample_type_name: TEXT | The longer name of the sample type, e.g. Primary Tumor, Recurrent Tumor, etc.
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)--this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba4

## TCGA_VERSIONED.DNA_METHYLATION_CHR21_HG38_GDC_2017_01
@use: [C13]
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba32
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-17
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba25
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries

## TCGA_VERSIONED.DNA_METHYLATION_CHR10_HG38_GDC_2017_01
@use: [C13]
sample_gdc_id: TEXT | Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal
aliquot_barcode: TEXT | TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-05
platform: TEXT | Platform used to generate this data -- either HumanMethylation450 or HumanMethylation27
case_gdc_id: TEXT | Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba13
case_barcode: TEXT | Original TCGA case barcode, eg TCGA-DX-A8BN
sample_barcode: TEXT | TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries
file_gdc_id: TEXT | Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba20
aliquot_gdc_id: TEXT | Unique GDC identifier for this aliquot (corresponds to the aliquot_barcode), eg 7fbfdb3e-1fd2-4206-8d2e-7f68e4a15844  --  this can be used to access more information from the GDC data portal

## TCGA_VERSIONED.CLINICAL_CPTAC_TCGA_PDC_V1_9
@use: [C17, C30, C7]
prior_malignancy: TEXT | The yes/no/unknown indicator used to describe the patient's history of prior cancer diagnosis
ajcc_clinical_n: TEXT | Extent of the regional lymph node involvement for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment
progression_or_recurrence: TEXT | Yes/No/Unknown indicator to identify whether a patient has had a new tumor event after initial treatment
vascular_invasion_present: TEXT | The yes/no indicator to ask if large vessel or venous invasion was detected by surgery or presence in a tumor specimen
